,ISIN,Position Date,Aggregated short
0,GB00B09LQS34,2013-05-24 00:00:00,0.71
1,GB00B09LQS34,2013-05-27 00:00:00,0.71
2,GB00B09LQS34,2013-05-28 00:00:00,0.71
3,GB00B09LQS34,2013-05-29 00:00:00,1.42
4,GB00B09LQS34,2013-05-30 00:00:00,1.42
5,GB00B09LQS34,2013-05-31 00:00:00,1.42
6,GB00B09LQS34,2013-06-03 00:00:00,1.42
7,GB00B09LQS34,2013-06-04 00:00:00,1.42
8,GB00B09LQS34,2013-06-05 00:00:00,1.42
9,GB00B09LQS34,2013-06-06 00:00:00,1.42
10,GB00B09LQS34,2013-06-07 00:00:00,1.42
11,GB00B09LQS34,2013-06-10 00:00:00,1.42
12,GB00B09LQS34,2013-06-11 00:00:00,1.42
13,GB00B09LQS34,2013-06-12 00:00:00,1.42
14,GB00B09LQS34,2013-06-13 00:00:00,1.42
15,GB00B09LQS34,2013-06-14 00:00:00,1.42
16,GB00B09LQS34,2013-06-17 00:00:00,1.42
17,GB00B09LQS34,2013-06-18 00:00:00,1.42
18,GB00B09LQS34,2013-06-19 00:00:00,1.42
19,GB00B09LQS34,2013-06-20 00:00:00,1.42
20,GB00B09LQS34,2013-06-21 00:00:00,1.42
21,GB00B09LQS34,2013-06-24 00:00:00,0.0
22,GB00BJL5BR07,2020-12-17 00:00:00,0.56
23,GB00BJL5BR07,2020-12-18 00:00:00,0.45
24,GB00BJL5BR07,2020-12-21 00:00:00,0.59
25,GB00BJL5BR07,2020-12-22 00:00:00,0.42
26,GB00BJL5BR07,2020-12-23 00:00:00,0.42
27,GB00BJL5BR07,2020-12-24 00:00:00,0.42
28,GB00BJL5BR07,2020-12-25 00:00:00,0.42
29,GB00BJL5BR07,2020-12-28 00:00:00,0.42
30,GB00BJL5BR07,2020-12-29 00:00:00,0.42
31,GB00BJL5BR07,2020-12-30 00:00:00,0.42
32,GB00BJL5BR07,2020-12-31 00:00:00,0.42
33,GB00BJL5BR07,2021-01-01 00:00:00,0.42
34,GB00BJL5BR07,2021-01-04 00:00:00,0.42
35,GB00BJL5BR07,2021-01-05 00:00:00,0.42
36,GB00BJL5BR07,2021-01-06 00:00:00,0.42
37,GB00BJL5BR07,2021-01-07 00:00:00,0.42
38,GB00BJL5BR07,2021-01-08 00:00:00,0.42
39,GB00BJL5BR07,2021-01-11 00:00:00,0.42
40,GB00BJL5BR07,2021-01-12 00:00:00,0.42
41,GB00BJL5BR07,2021-01-13 00:00:00,0.42
42,GB00BJL5BR07,2021-01-14 00:00:00,0.42
43,GB00BJL5BR07,2021-01-15 00:00:00,0.6
44,GB00BJL5BR07,2021-01-18 00:00:00,0.58
45,GB00BJL5BR07,2021-01-19 00:00:00,0.58
46,GB00BJL5BR07,2021-01-20 00:00:00,0.49
47,GB00BJL5BR07,2021-01-21 00:00:00,0.49
48,GB00BJL5BR07,2021-01-22 00:00:00,0.55
49,GB00BJL5BR07,2021-01-25 00:00:00,0.55
50,GB00BJL5BR07,2021-01-26 00:00:00,0.55
51,GB00BJL5BR07,2021-01-27 00:00:00,0.55
52,GB00BJL5BR07,2021-01-28 00:00:00,0.47
53,GB00BJL5BR07,2021-01-29 00:00:00,0.54
54,GB00BJL5BR07,2021-02-01 00:00:00,0.54
55,GB00BJL5BR07,2021-02-02 00:00:00,0.54
56,GB00BJL5BR07,2021-02-03 00:00:00,0.54
57,GB00BJL5BR07,2021-02-04 00:00:00,0.54
58,GB00BJL5BR07,2021-02-05 00:00:00,0.48
59,GB00BJL5BR07,2021-02-08 00:00:00,0.55
60,GB00BJL5BR07,2021-02-09 00:00:00,0.61
61,GB00BJL5BR07,2021-02-10 00:00:00,0.61
62,GB00BJL5BR07,2021-02-11 00:00:00,0.59
63,GB00BJL5BR07,2021-02-12 00:00:00,0.61
64,GB00BJL5BR07,2021-02-15 00:00:00,0.61
65,GB00BJL5BR07,2021-02-16 00:00:00,0.61
66,GB00BJL5BR07,2021-02-17 00:00:00,0.58
67,GB00BJL5BR07,2021-02-18 00:00:00,0.58
68,GB00BJL5BR07,2021-02-19 00:00:00,0.46
69,GB00BJL5BR07,2021-02-22 00:00:00,0.56
70,GB00BJL5BR07,2021-02-23 00:00:00,0.64
71,GB00BJL5BR07,2021-02-24 00:00:00,0.64
72,GB00BJL5BR07,2021-02-25 00:00:00,0.54
73,GB00BJL5BR07,2021-02-26 00:00:00,0.42
74,GB00BJL5BR07,2021-12-02 00:00:00,0.5
75,GB00BJL5BR07,2021-12-03 00:00:00,0.5
76,GB00BJL5BR07,2021-12-06 00:00:00,0.5
77,GB00BJL5BR07,2021-12-07 00:00:00,0.5
78,GB00BJL5BR07,2021-12-08 00:00:00,0.5
79,GB00BJL5BR07,2021-12-09 00:00:00,0.5
