,ISIN,Position Date,Aggregated short
0,GB0006640972,2018-11-01 00:00:00,0.51
1,GB0006640972,2018-11-02 00:00:00,0.46
2,GB0006640972,2018-11-05 00:00:00,0.46
3,GB0006640972,2018-11-06 00:00:00,0.46
4,GB0006640972,2018-11-07 00:00:00,0.46
5,GB0006640972,2018-11-08 00:00:00,0.46
6,GB0006640972,2018-11-09 00:00:00,0.46
7,GB0006640972,2018-11-12 00:00:00,0.46
8,GB0006640972,2018-11-13 00:00:00,0.46
9,GB0006640972,2018-11-14 00:00:00,0.46
10,GB0006640972,2018-11-15 00:00:00,0.46
11,GB0006640972,2018-11-16 00:00:00,0.46
12,GB0006640972,2018-11-19 00:00:00,0.46
13,GB0006640972,2018-11-20 00:00:00,0.46
14,GB0006640972,2018-11-21 00:00:00,0.46
15,GB0006640972,2018-11-22 00:00:00,0.46
16,GB0006640972,2018-11-23 00:00:00,0.46
17,GB0006640972,2018-11-26 00:00:00,0.46
18,GB0006640972,2018-11-27 00:00:00,0.46
19,GB0006640972,2018-11-28 00:00:00,0.46
20,GB0006640972,2018-11-29 00:00:00,0.46
21,GB0006640972,2018-11-30 00:00:00,0.46
22,GB0006640972,2018-12-03 00:00:00,0.46
23,GB0006640972,2018-12-04 00:00:00,0.46
24,GB0006640972,2018-12-05 00:00:00,0.46
25,GB0006640972,2018-12-06 00:00:00,0.46
26,GB0006640972,2018-12-07 00:00:00,0.46
27,GB0006640972,2018-12-10 00:00:00,0.46
28,GB0006640972,2018-12-11 00:00:00,0.46
29,GB0006640972,2018-12-12 00:00:00,0.46
30,GB0006640972,2018-12-13 00:00:00,0.46
31,GB0006640972,2018-12-14 00:00:00,0.46
32,GB0006640972,2018-12-17 00:00:00,0.46
33,GB0006640972,2018-12-18 00:00:00,0.46
34,GB0006640972,2018-12-19 00:00:00,0.46
35,GB0006640972,2018-12-20 00:00:00,0.46
36,GB0006640972,2018-12-21 00:00:00,0.46
37,GB0006640972,2018-12-24 00:00:00,0.46
38,GB0006640972,2018-12-25 00:00:00,0.46
39,GB0006640972,2018-12-26 00:00:00,0.46
40,GB0006640972,2018-12-27 00:00:00,0.46
41,GB0006640972,2018-12-28 00:00:00,0.46
42,GB0006640972,2018-12-31 00:00:00,0.46
43,GB0006640972,2019-01-01 00:00:00,0.46
44,GB0006640972,2019-01-02 00:00:00,0.46
45,GB0006640972,2019-01-03 00:00:00,0.46
46,GB0006640972,2019-01-04 00:00:00,0.46
47,GB0006640972,2019-01-07 00:00:00,0.46
48,GB0006640972,2019-01-08 00:00:00,0.46
49,GB0006640972,2019-01-09 00:00:00,0.46
50,GB0006640972,2019-01-10 00:00:00,0.46
51,GB0006640972,2019-01-11 00:00:00,0.46
52,GB0006640972,2019-01-14 00:00:00,0.46
53,GB0006640972,2019-01-15 00:00:00,0.46
54,GB0006640972,2019-01-16 00:00:00,0.46
55,GB0006640972,2019-01-17 00:00:00,0.46
56,GB0006640972,2019-01-18 00:00:00,0.46
57,GB0006640972,2019-01-21 00:00:00,0.46
58,GB0006640972,2019-01-22 00:00:00,0.46
59,GB0006640972,2019-01-23 00:00:00,0.46
60,GB0006640972,2019-01-24 00:00:00,0.46
61,GB0006640972,2019-01-25 00:00:00,0.46
62,GB0006640972,2019-01-28 00:00:00,0.46
63,GB0006640972,2019-01-29 00:00:00,0.46
64,GB0006640972,2019-01-30 00:00:00,0.46
65,GB0006640972,2019-01-31 00:00:00,0.46
66,GB0006640972,2019-02-01 00:00:00,0.46
67,GB0006640972,2019-02-04 00:00:00,0.46
68,GB0006640972,2019-02-05 00:00:00,0.46
69,GB0006640972,2019-02-06 00:00:00,0.46
70,GB0006640972,2019-02-07 00:00:00,0.46
71,GB0006640972,2019-02-08 00:00:00,0.46
72,GB0006640972,2019-02-11 00:00:00,0.46
73,GB0006640972,2019-02-12 00:00:00,0.46
74,GB0006640972,2019-02-13 00:00:00,0.46
75,GB0006640972,2019-02-14 00:00:00,0.46
76,GB0006640972,2019-02-15 00:00:00,0.46
77,GB0006640972,2019-02-18 00:00:00,0.46
78,GB0006640972,2019-02-19 00:00:00,0.46
79,GB0006640972,2019-02-20 00:00:00,0.46
80,GB0006640972,2019-02-21 00:00:00,0.46
81,GB0006640972,2019-02-22 00:00:00,0.46
82,GB0006640972,2019-02-25 00:00:00,0.46
83,GB0006640972,2019-02-26 00:00:00,0.46
84,GB0006640972,2019-02-27 00:00:00,0.46
85,GB0006640972,2019-02-28 00:00:00,0.46
